name,description,price,special_price,RAM,Storage,Processor,Primary_Image,question,answer,discount_percentage
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,Con này đánh lmht giải trí 4 5 ván ổn không ạ,"Dạ sản phẩm đánh 4-5 ván liên minh huyền thoại ở mức đồ hoạ trung bình là ổn
Em xin thông tin đến mình",36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,máy này còn hàng không ad,"LAPTOP ACER ASPIRE 3 SPIN 14 A3SP14-31PT-387Z NX.KENSV.001 I3-N305/8GB/512GB/14.0 FHD+/CẢM ỨNG/WIN11/XÁM giá khuyến mãi hiện tại là 9.490.000 (giá ở khu vực miền Nam)
Dạ không biết khi nào mình tiện đến cửa hàng bên em để em lên đơn giữ hàng cho mình tại cửa hàng 24h tránh tình trạng hết hàng ạ.
Xin thông tin đến Anh.",36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,con này còn máy ở khu vực Gia Lâm Long Biên ko ạ ?,LAPTOP ACER ASPIRE 3 SPIN 14 A3SP14-31PT-387Z NX.KENSV.001 I3-N305/8GB/512GB/14.0 FHD+/CẢM ỨNG/WIN11/XÁM giá khuyến mãi hiện tại là 9.490.000,36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,No question provided,,36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,No question provided,,36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,Con này đánh lmht giải trí 4 5 ván ổn không ạ,"Dạ sản phẩm đánh 4-5 ván liên minh huyền thoại ở mức đồ hoạ trung bình là ổn
Em xin thông tin đến mình",36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,máy này còn hàng không ad,"LAPTOP ACER ASPIRE 3 SPIN 14 A3SP14-31PT-387Z NX.KENSV.001 I3-N305/8GB/512GB/14.0 FHD+/CẢM ỨNG/WIN11/XÁM giá khuyến mãi hiện tại là 9.490.000 (giá ở khu vực miền Nam)
Dạ không biết khi nào mình tiện đến cửa hàng bên em để em lên đơn giữ hàng cho mình tại cửa hàng 24h tránh tình trạng hết hàng ạ.
Xin thông tin đến Anh.",36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,con này còn máy ở khu vực Gia Lâm Long Biên ko ạ ?,,36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,No question provided,,36.69
Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,"Nguyên hộp, đầy đủ phụ kiện từ nhà sản suất
Bảo hành pin 12 tháng",14990000.0,9490000.0,8GB,"512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",Intel Core i3-N305,https://cdn2.cellphones.com.vn/insecure/rs:fill:58:58/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_39__6_2.png,No question provided,,36.69
